candidate_id,rank,score,reasoning
CAND_0000031,1,0.7368,"6.0 YoE as a Recommendation Systems Engineer showing expert alignment in FAISS, Pinecone, Information Retrieval. Located in Hyderabad, Telangana, highly active (91% response) and notice period is 60 days. Note: long notice period (60 days)."
CAND_0000014,2,0.5678,"8.4 YoE as a Frontend Engineer showing expert alignment in FAISS. Located in Hyderabad, Telangana, highly active (80% response) and notice period is 90 days. Note: long notice period (90 days)."
CAND_0000038,3,0.5483,"6.7 YoE as a Java Developer showing expert alignment in Weaviate. Located in Coimbatore, Tamil Nadu, active with 20% response rate and notice period is 90 days. Note: long notice period (90 days), lower response rate (20%)."
CAND_0000025,4,0.5105,"7.3 YoE as a Frontend Engineer showing solid background in applied ML. Located in Vizag, Andhra Pradesh, active with 74% response rate and notice period is 120 days. Note: long notice period (120 days), requires relocation support."
CAND_0000001,5,0.4884,"Excellent technical alignment with expert alignment in Milvus across 6.9 YoE as a Backend Engineer. notice period is 60 days, based in Toronto, showing active with 34% response rate. Note: long notice period (60 days), requires relocation support, lower response rate (34%)."
CAND_0000043,6,0.4794,"8.3 YoE as a Cloud Engineer showing expert alignment in Elasticsearch. Located in Chandigarh, Chandigarh, active with 4% response rate and notice period is 120 days. Note: long notice period (120 days), lower response rate (4%)."
CAND_0000018,7,0.4789,"Strong candidate with 6.6 YoE as a Frontend Engineer, based in Bhubaneswar, Odisha. Proven fit with solid background in applied ML; notice period is 120 days and active with 16% response rate. Note: long notice period (120 days), requires relocation support, lower response rate (16%)."
CAND_0000048,8,0.4656,"Strong candidate with 9.7 YoE as a Mobile Developer, based in Hyderabad, Telangana. Proven fit with solid background in applied ML; notice period is 120 days and active with 65% response rate. Note: experience exceeds target range, long notice period (120 days)."
CAND_0000044,9,0.4596,"Strong candidate with 5.7 YoE as a Frontend Engineer, based in Indore, Madhya Pradesh. Proven fit with solid background in Python; notice period is 90 days and active with 66% response rate. Note: long notice period (90 days), requires relocation support."
CAND_0000023,10,0.4095,"Strong candidate with 3.7 YoE as a Software Engineer, based in New York. Proven fit with solid background in applied ML; on a 30-day notice and active with 56% response rate. Note: experience is slightly below the 5-9 year target, requires relocation support."
CAND_0000010,11,0.367,"Excellent technical alignment with expert alignment in Elasticsearch across 4.6 YoE as a Data Engineer. notice period is 120 days, based in London, showing active with 40% response rate. Note: experience is slightly below the 5-9 year target, long notice period (120 days), requires relocation support, lower response rate (40%)."
