candidate_id,rank,score,reasoning
CAND_0018499,1,0.7971,"Strong candidate with 7.2 YoE as a Senior Machine Learning Engineer, based in Noida, Uttar Pradesh. Proven fit with expert alignment in Weaviate, Pinecone, Information Retrieval; available immediately and active with 61% response rate."
CAND_0050454,2,0.7741,"Excellent technical alignment with expert alignment in FAISS, Qdrant across 6.8 YoE as a AI Engineer. on a 30-day notice, based in Delhi, Delhi, showing active with 77% response rate."
CAND_0064326,3,0.7736,"7.6 YoE as a Search Engineer showing expert alignment in Milvus, Weaviate, RAG. Located in Gurgaon, Haryana, highly active (94% response) and notice period is 45 days."
CAND_0037566,4,0.7728,"6.9 YoE as a Machine Learning Engineer showing expert alignment in Pinecone, Elasticsearch. Located in Bangalore, Karnataka, active with 50% response rate and available immediately."
CAND_0062247,5,0.7685,"Strong candidate with 7.3 YoE as a AI Engineer, willing to relocate to Pune/Noida. Proven fit with expert alignment in Pinecone, Vector Search, Qdrant; on a 30-day notice and active with 78% response rate."
CAND_0046525,6,0.768,"Strong candidate with 6.1 YoE as a Senior Machine Learning Engineer, based in Pune, Maharashtra. Proven fit with expert alignment in Elasticsearch, Information Retrieval, Qdrant; notice period is 60 days and highly active (88% response). Note: long notice period (60 days)."
CAND_0005649,7,0.7533,"7.4 YoE as a Senior Data Scientist showing expert alignment in Weaviate, RAG, Information Retrieval. Located in Delhi, Delhi, active with 56% response rate and notice period is 90 days. Note: long notice period (90 days)."
CAND_0037160,8,0.7488,"Excellent technical alignment with expert alignment in Weaviate, Vector Search across 6.0 YoE as a Data Scientist. on a 30-day notice, based in Mumbai, Maharashtra, showing active with 74% response rate."
CAND_0052328,9,0.7481,"Strong candidate with 6.5 YoE as a Recommendation Systems Engineer, based in Pune, Maharashtra. Proven fit with expert alignment in Vector Search; on a 30-day notice and active with 79% response rate."
CAND_0011687,10,0.7473,"7.8 YoE as a Senior NLP Engineer showing expert alignment in FAISS, Weaviate. Located in Indore, Madhya Pradesh, highly active (89% response) and available immediately. Note: requires relocation support."
CAND_0069905,11,0.7459,"Strong candidate with 6.6 YoE as a Applied ML Engineer, willing to relocate to Pune/Noida. Proven fit with expert alignment in Weaviate; notice period is 90 days and active with 78% response rate. Note: long notice period (90 days)."
CAND_0068351,12,0.7411,"Strong candidate with 6.4 YoE as a Lead AI Engineer, based in Delhi, Delhi. Proven fit with expert alignment in Qdrant, Elasticsearch; available immediately and highly active (86% response)."
CAND_0041610,13,0.7409,"Excellent technical alignment with expert alignment in Elasticsearch across 6.7 YoE as a Recommendation Systems Engineer. on a 30-day notice, willing to relocate to Pune/Noida, showing active with 52% response rate."
CAND_0086022,14,0.7399,"5.3 YoE as a Senior Applied Scientist showing expert alignment in Vector Search, Elasticsearch, Pinecone. Located in Kolkata, West Bengal, active with 55% response rate and available immediately."
CAND_0076251,15,0.7393,"Excellent technical alignment with expert alignment in Weaviate, Elasticsearch across 7.6 YoE as a Search Engineer. notice period is 60 days, willing to relocate to Pune/Noida, showing active with 51% response rate. Note: long notice period (60 days)."
CAND_0081846,16,0.7389,"Strong candidate with 6.7 YoE as a Lead AI Engineer, willing to relocate to Pune/Noida. Proven fit with expert alignment in Information Retrieval, Elasticsearch, Vector Search; on a 30-day notice and active with 73% response rate."
CAND_0049896,17,0.7384,"7.3 YoE as a Search Engineer showing expert alignment in Information Retrieval, Vector Search. Located in Vizag, Andhra Pradesh, active with 43% response rate and notice period is 90 days. Note: long notice period (90 days), lower response rate (43%)."
CAND_0045250,18,0.7382,"Excellent technical alignment with expert alignment in Milvus, Vector Search, Qdrant across 6.6 YoE as a Applied ML Engineer. available immediately, based in Delhi, Delhi, showing active with 74% response rate."
CAND_0000031,19,0.7368,"Excellent technical alignment with expert alignment in FAISS, Pinecone, Information Retrieval across 6.0 YoE as a Recommendation Systems Engineer. notice period is 60 days, based in Hyderabad, Telangana, showing highly active (91% response). Note: long notice period (60 days)."
CAND_0002025,20,0.7357,"5.9 YoE as a Senior AI Engineer showing expert alignment in FAISS, Weaviate, Pinecone. Located in Trivandrum, Kerala, highly active (80% response) and on a 30-day notice. Note: requires relocation support."
CAND_0043860,21,0.7352,"Excellent technical alignment with expert alignment in Information Retrieval, Qdrant, Vector Search across 6.1 YoE as a Junior ML Engineer. on a 30-day notice, willing to relocate to Pune/Noida, showing highly active (81% response)."
CAND_0041669,22,0.7315,"Excellent technical alignment with expert alignment in FAISS, Milvus, Weaviate across 8.0 YoE as a Recommendation Systems Engineer. notice period is 60 days, based in Noida, Uttar Pradesh, showing active with 77% response rate. Note: long notice period (60 days)."
CAND_0008295,23,0.7277,"Strong candidate with 6.5 YoE as a AI Research Engineer, based in Pune, Maharashtra. Proven fit with expert alignment in Weaviate; notice period is 45 days and highly active (89% response)."
CAND_0077337,24,0.7268,"Excellent technical alignment with expert alignment in Pinecone, Information Retrieval, RAG across 7.0 YoE as a Staff Machine Learning Engineer. notice period is 60 days, willing to relocate to Pune/Noida, showing highly active (95% response). Note: long notice period (60 days)."
CAND_0014440,25,0.7261,"Excellent technical alignment with expert alignment in Elasticsearch, Milvus, FAISS across 6.4 YoE as a Recommendation Systems Engineer. notice period is 60 days, based in Chennai, Tamil Nadu, showing active with 64% response rate. Note: long notice period (60 days)."
CAND_0068811,26,0.7258,"Strong candidate with 8.0 YoE as a Applied ML Engineer, based in Pune, Maharashtra. Proven fit with expert alignment in Vector Search, Qdrant, Pinecone; on a 30-day notice and active with 42% response rate. Note: lower response rate (42%)."
CAND_0042506,27,0.7252,"Excellent technical alignment with expert alignment in Information Retrieval, Milvus, Qdrant across 4.2 YoE as a Search Engineer. available immediately, based in Mumbai, Maharashtra, showing active with 48% response rate. Note: experience is slightly below the 5-9 year target, lower response rate (48%)."
CAND_0066999,28,0.7217,"Strong candidate with 5.9 YoE as a Recommendation Systems Engineer, based in Delhi, Delhi. Proven fit with expert alignment in FAISS, Pinecone, Information Retrieval; available immediately and active with 63% response rate."
CAND_0061265,29,0.7211,"6.6 YoE as a Recommendation Systems Engineer showing expert alignment in Qdrant, Vector Search, Milvus. Located in Delhi, Delhi, highly active (94% response) and notice period is 120 days. Note: long notice period (120 days)."
CAND_0058575,30,0.7201,"5.8 YoE as a AI Engineer showing expert alignment in Pinecone. Located in Chennai, Tamil Nadu, active with 69% response rate and notice period is 90 days. Note: long notice period (90 days)."
CAND_0061257,31,0.7191,"Strong candidate with 8.0 YoE as a Staff Machine Learning Engineer, based in Noida, Uttar Pradesh. Proven fit with solid background in PEFT, Information Retrieval Systems, Python; on a 30-day notice and highly active (87% response)."
CAND_0069638,32,0.7176,"Excellent technical alignment with expert alignment in Pinecone across 6.2 YoE as a Computer Vision Engineer. on a 30-day notice, based in Chennai, Tamil Nadu, showing active with 64% response rate."
CAND_0073007,33,0.7164,"Strong candidate with 5.8 YoE as a AI Specialist, based in Bangalore, Karnataka. Proven fit with expert alignment in Milvus, FAISS; notice period is 60 days and highly active (83% response). Note: long notice period (60 days)."
CAND_0009024,34,0.7143,"Strong candidate with 5.2 YoE as a Search Engineer, based in Chennai, Tamil Nadu. Proven fit with expert alignment in Qdrant, FAISS; on a 30-day notice and active with 46% response rate. Note: lower response rate (46%)."
CAND_0031593,35,0.7141,"Strong candidate with 7.8 YoE as a Search Engineer, willing to relocate to Pune/Noida. Proven fit with expert alignment in Elasticsearch; notice period is 90 days and active with 57% response rate. Note: long notice period (90 days)."
CAND_0033179,36,0.7139,"Strong candidate with 6.9 YoE as a AI Research Engineer, willing to relocate to Pune/Noida. Proven fit with expert alignment in Information Retrieval; on a 30-day notice and highly active (84% response)."
CAND_0042029,37,0.7136,"Strong candidate with 6.5 YoE as a Senior Data Scientist, based in Delhi, Delhi. Proven fit with expert alignment in RAG, Elasticsearch, Weaviate; notice period is 45 days and active with 67% response rate."
CAND_0060054,38,0.7128,"6.4 YoE as a AI Engineer showing expert alignment in Weaviate, FAISS, Elasticsearch. Located in Jaipur, Rajasthan, highly active (86% response) and available immediately."
CAND_0098846,39,0.7127,"Strong candidate with 7.6 YoE as a AI Engineer, willing to relocate to Pune/Noida. Proven fit with expert alignment in Qdrant; notice period is 45 days and active with 62% response rate."
CAND_0043676,40,0.711,"Excellent technical alignment with solid background in QLoRA, PEFT, LoRA across 6.1 YoE as a Senior Software Engineer (ML). on a 30-day notice, based in Delhi, Delhi, showing active with 65% response rate."
CAND_0065195,41,0.7093,"5.1 YoE as a Search Engineer showing expert alignment in Elasticsearch, Qdrant. Located in Kolkata, West Bengal, highly active (80% response) and notice period is 45 days. Note: requires relocation support."
